NIfTI ID,Slice Index,Tumor Ratio,Tumor Area (in pixel),Brain Area (in pixel),Tumor Area (in mm),Brain Area (in mm)
BraTS-GLI-00615-000,40,0.0104,115,11032,115.0,11032.0
BraTS-GLI-00615-000,41,0.0231,265,11476,265.0,11476.0
BraTS-GLI-00615-000,42,0.0341,403,11832,403.0,11832.0
BraTS-GLI-00615-000,43,0.0394,476,12086,476.0,12086.0
BraTS-GLI-00615-000,44,0.0429,530,12340,530.0,12340.0
BraTS-GLI-00615-000,45,0.0543,682,12556,682.0,12556.0
BraTS-GLI-00615-000,46,0.0633,808,12762,808.0,12762.0
BraTS-GLI-00615-000,47,0.0714,925,12954,925.0,12954.0
BraTS-GLI-00615-000,48,0.0817,1078,13188,1078.0,13188.0
BraTS-GLI-00615-000,49,0.0935,1258,13458,1258.0,13458.0
BraTS-GLI-00615-000,50,0.0965,1324,13727,1324.0,13727.0
BraTS-GLI-00615-000,51,0.098,1377,14050,1377.0,14050.0
BraTS-GLI-00615-000,52,0.0971,1390,14310,1390.0,14310.0
BraTS-GLI-00615-000,53,0.0944,1382,14639,1382.0,14639.0
BraTS-GLI-00615-000,54,0.0918,1361,14823,1361.0,14823.0
BraTS-GLI-00615-000,55,0.0886,1327,14974,1327.0,14974.0
BraTS-GLI-00615-000,56,0.086,1300,15121,1300.0,15121.0
BraTS-GLI-00615-000,57,0.0857,1308,15256,1308.0,15256.0
BraTS-GLI-00615-000,58,0.0822,1263,15369,1263.0,15369.0
BraTS-GLI-00615-000,59,0.0787,1217,15471,1217.0,15471.0
BraTS-GLI-00615-000,60,0.0717,1118,15591,1118.0,15591.0
BraTS-GLI-00615-000,61,0.0633,995,15709,995.0,15709.0
BraTS-GLI-00615-000,62,0.0507,803,15837,803.0,15837.0
BraTS-GLI-00615-000,63,0.0407,649,15962,649.0,15962.0
BraTS-GLI-00615-000,64,0.0302,486,16103,486.0,16103.0
BraTS-GLI-00615-000,65,0.0257,418,16244,418.0,16244.0
BraTS-GLI-00615-000,66,0.0252,413,16379,413.0,16379.0
BraTS-GLI-00615-000,67,0.0247,408,16495,408.0,16495.0
BraTS-GLI-00615-000,68,0.0218,362,16616,362.0,16616.0
BraTS-GLI-00615-000,69,0.0195,326,16728,326.0,16728.0
BraTS-GLI-00615-000,70,0.0164,276,16868,276.0,16868.0
BraTS-GLI-00615-000,71,0.0137,233,16971,233.0,16971.0
BraTS-GLI-00615-000,72,0.0093,158,17069,158.0,17069.0
BraTS-GLI-00615-000,73,0.0051,87,17144,87.0,17144.0
BraTS-GLI-00615-000,74,0.002,35,17215,35.0,17215.0
BraTS-GLI-00615-000,75,0.0006,10,17288,10.0,17288.0
